step_number,description,Recipe_name
6,"Add vegetables and bread to sausage.
Whisk together eggs, ½ cup cream, turkey stock, cheese, and parsley, then stir into stuffing and cool completely, about 30 minutes",Italian Sausage and Bread Stuffing
7,"Reserve 5 cups stuffing to stuff turkey and spoon remainder into baking dish, then drizzle with remaining ¼ cup cream",Italian Sausage and Bread Stuffing
8,"Cover stuffing and chill.
About 1 hour before stuffed turkey is finished roasting, bring dish of stuffing to room temperature",Italian Sausage and Bread Stuffing
9,"When turkey is done, increase oven temperature to 425°F and bake stuffing, covered tightly with foil, until hot throughout, about 20 minutes",Italian Sausage and Bread Stuffing
10,"Remove foil and bake until top is golden and crisp, about 15 minutes more.
Cooks' Note: Bread can be toasted 3 days ahead and kept (once cool) in a sealed bag at room temperature",Italian Sausage and Bread Stuffing
11,Stuffing can be prepared (but not baked) 4 hours before roasting turkey,Italian Sausage and Bread Stuffing
12,"If baking stuffing at the same time as potatoes, put stuffing in upper third of oven and potatoes in bottom third (allow extra time).",Italian Sausage and Bread Stuffing
1,Stir together brown sugar and hot water in a cocktail shaker to dissolve,Newton's Law
2,"Let cool, then add bourbon, lemon juice, and apple butter and fill with ice",Newton's Law
3,"Shake until well chilled, about 15 seconds",Newton's Law
4,Strain into an ice-filled rocks glass,Newton's Law
5,Garnish with orange twist and cinnamon.,Newton's Law
1,"Place 2 chamomile tea bags in a heatsafe vessel, such as a large liquid measuring cup",Warm Comfort
2,"Pour in 1 ½ cups boiling water, and let steep 5 minutes, then remove tea bags.
Add 1 ½ oz reposado tequila, ¾ oz, fresh lemon juice, and 1 Tbsp, agave nectar and stir until incorporated",Warm Comfort
3,Pour into a 16-ounce insulated mug (or two smaller 8-ounce mugs) and drink hot.,Warm Comfort
1,"Add 3 oz, Grand Marnier, 1 oz Amaro Averna, and a small pat of salted butter to a 16-ounce travel mug or large heatproof measuring cup",Apples and Oranges
2,"Add 1 cup hot apple cider and stir until butter melts.
Add 1½ tsp",Apples and Oranges
3,"fresh lemon juice and taste for sweetness, adding additional if needed",Apples and Oranges
4,"If serving in travel mug, garnish with ground pink peppercorns and seal",Apples and Oranges
5,"If serving in mugs, divide drink between two warmed mugs and garnish each with a pink peppercorn-dusted lemon wheel.",Apples and Oranges
1,"For the turmeric syrup, combine ½ cup hot water and ¼ cup sugar in a liquid measuring cup or mason jar",Turmeric Hot Toddy
2,Add ground turmeric and stir—or seal and shake—until sugar is completely dissolved,Turmeric Hot Toddy
3,"
For the toddy, combine 1 ½ oz",Turmeric Hot Toddy
4,"Amontillado sherry, 1 oz bourbon (or other spirit of choice), 1 oz Turmeric Syrup, and ½ oz fresh lemon juice in a sturdy pint glass or 16-ounce thermos",Turmeric Hot Toddy
5,Top with 8 oz hot water and stir gently,Turmeric Hot Toddy
6,Garnish with dehydrated lemon wheel if desired.,Turmeric Hot Toddy
1,"Combine dals, rice, and barley in a medium bowl",Instant Pot Lamb Haleem
2,Pour in water to cover and swish dals and grains around with your fingers,Instant Pot Lamb Haleem
3,Drain and repeat process until water runs clear enough to see your hands through,Instant Pot Lamb Haleem
4,"Pour in water to cover and let dals and grains soak at room temperature at least 2 hours, or cover and chill up to 12 hours.
Place lamb on a plate, pat dry with paper towels, and season all over with 2 tsp salt; set aside",Instant Pot Lamb Haleem
5,Peel ginger by scraping off skin with a spoon,Instant Pot Lamb Haleem
6,Finely grate half of ginger; set aside,Instant Pot Lamb Haleem
7,Thinly slice remaining ginger,Instant Pot Lamb Haleem
8,"Stack slices and cut crosswise into matchsticks; set aside.
If using an electric pressure cooker, combine shallots and ghee in pot and set to sauté function or high",Instant Pot Lamb Haleem
9,"Cook, stirring often and adjusting heat as needed if your cooker has that option, until shallots are just beginning to brown, about 8 minutes (or about 6 minutes if cooking in oil)",Instant Pot Lamb Haleem
10,"Reduce to normal function or medium if possible, or, if your cooker doesn’t have a lower setting, turn off for a minute if mixture is getting too hot",Instant Pot Lamb Haleem
11,"Add reserved ginger matchsticks and cook, stirring often, until shallots are brown and crisp and ginger is frizzled, 4–10 minutes, depending on your cooker",Instant Pot Lamb Haleem
12,"Using a slotted spoon, transfer shallots and ginger to a plate, spreading out into a single layer",Instant Pot Lamb Haleem
13,"Season lightly with salt; let cool.
Add garlic, garam masala, cayenne, turmeric, and reserved grated ginger, and cook, stirring constantly, until fragrant, about 30 seconds",Instant Pot Lamb Haleem
14,Add lamb and stir to coat in spices,Instant Pot Lamb Haleem
15,"Cook, stirring often with a wooden spoon and repeatedly adding splashes of water as spices begin to stick to bottom of pot and scraping up browned bits, until flavors come together, about 15 minutes.(Bhuna, the process of repeated sticking and scraping, is a Southeast Asian cooking technique that brings out the flavor of the spices and ensures they don’t taste raw and grainy.)
Drain dal mixture and add to pot along with 1 tsp",Instant Pot Lamb Haleem
16,salt and 5 cups water,Instant Pot Lamb Haleem
17,Secure lid and bring to full pressure according to manufacturer’s directions,Instant Pot Lamb Haleem
18,Cook 1½ hours,Instant Pot Lamb Haleem
19,"Let sit 20 minutes, then manually release pressure and open up.
Taste haleem and add more salt and cayenne if needed",Instant Pot Lamb Haleem
20,Add chiles if using,Instant Pot Lamb Haleem
21,"(These are for flavor, not heat; feel free to leave them out.) Simmer on normal function or medium, stirring often, 5 minutes",Instant Pot Lamb Haleem
22,"Stir in ½ cup cilantro.
Serve haleem with white onion, lime wedges, reserved crispy shallots and ginger, and more chopped cilantro.
If using a medium Dutch oven or stovetop pressure cooker, cook shallots and ghee over high heat, stirring often, until shallots are just beginning to brown, about 8 minutes (or about 6 minutes if cooking in oil)",Instant Pot Lamb Haleem
23,"Add reserved ginger matchsticks and cook, stirring often, until shallots are brown and crisp and ginger is frizzled, 5–8 minutes",Instant Pot Lamb Haleem
24,"Using a slotted spoon, transfer shallots and ginger to a plate, spreading out in a single layer",Instant Pot Lamb Haleem
25,"Season lightly with salt; let cool.
Reduce heat to medium, add garlic, garam masala, cayenne, turmeric, and reserved grated ginger, and cook, stirring constantly, until fragrant, about 30 seconds",Instant Pot Lamb Haleem
26,Add lamb and stir to coat in spices,Instant Pot Lamb Haleem
27,"Cook, stirring often with a wooden spoon and repeatedly adding splashes of water as spices begin to stick to bottom of pot and scraping up browned bits, until flavors come together, about 15 minutes",Instant Pot Lamb Haleem
28,"(Bhuna, the process of repeated sticking and scraping, is a Southeast Asian cooking technique that brings out the flavor of the spices and ensures they don’t taste raw and grainy.)
Drain dal mixture and add to pot along with 1 tsp",Instant Pot Lamb Haleem
29,salt and 6½ cups water (if using a Dutch oven) or 5 cups water (for pressure cooker),Instant Pot Lamb Haleem
30,"Increase heat to high and bring to a boil, then reduce heat to the low, cover pot, and cook, stirring and scraping bottom of pot every 15–20 minutes, until meat is falling off the bone and dals and grains have nearly melted into the stew, 4½–5 hours",Instant Pot Lamb Haleem
31,"(If using a stovetop cooker, increase heat to high and bring to a boil",Instant Pot Lamb Haleem
32,Secure lid and bring to full pressure according to manufacturer’s directions,Instant Pot Lamb Haleem
33,Cook 1½ hours,Instant Pot Lamb Haleem
34,"Let sit 20 minutes, then manually release pressure and open up.)
Taste haleem and add more salt and cayenne if needed",Instant Pot Lamb Haleem
35,Add chiles if using,Instant Pot Lamb Haleem
36,"(These are for flavor, not heat; feel free to leave them out.) Simmer over medium heat, stirring often, 5 minutes",Instant Pot Lamb Haleem
37,"Stir in ½ cup cilantro.
Serve haleem with white onion, lime wedges, reserved crispy shallots and ginger, and more chopped cilantro.
Do ahead: Haleem can be made 1 day ahead",Instant Pot Lamb Haleem
38,Let cool; cover and chill,Instant Pot Lamb Haleem
39,Reheat over medium until warmed through.,Instant Pot Lamb Haleem
1,"Place an oven rack in the center of the oven, then preheat to 350°F.
In a medium, oven-safe pan, heat 1 Tbsp",Spiced Lentil and Caramelized Onion Baked Eggs
2,olive oil over medium heat,Spiced Lentil and Caramelized Onion Baked Eggs
3,"Add 1 large, thinly sliced onion and ½ tsp",Spiced Lentil and Caramelized Onion Baked Eggs
4,Kosher salt,Spiced Lentil and Caramelized Onion Baked Eggs
5,"Cook, stirring often, until golden brown, about 25 minutes.
Add ½ tsp",Spiced Lentil and Caramelized Onion Baked Eggs
6,"turmeric, 1 tsp",Spiced Lentil and Caramelized Onion Baked Eggs
7,"cumin, ¼ tsp",Spiced Lentil and Caramelized Onion Baked Eggs
8,Aleppo pepper (or ⅛ tsp,Spiced Lentil and Caramelized Onion Baked Eggs
9,"crushed red pepper flakes), and 2 Tbsp",Spiced Lentil and Caramelized Onion Baked Eggs
10,tomato paste,Spiced Lentil and Caramelized Onion Baked Eggs
11,"Cook and stir constantly until the onions are coated and the tomato paste has darkened slightly, about 2 minutes",Spiced Lentil and Caramelized Onion Baked Eggs
12,"Add ⅓ cup water; stir and scrape up all the browned bits on the bottom of the pan for 1 to 2 minutes, or until the liquid looks thickened and saucy",Spiced Lentil and Caramelized Onion Baked Eggs
13,Add one 14-oz,Spiced Lentil and Caramelized Onion Baked Eggs
14,"can of lentil soup; cook, stirring to combine, 1 to 2 minutes",Spiced Lentil and Caramelized Onion Baked Eggs
15,"Turn off the heat and season with salt, pepper, and more Aleppo pepper or red pepper flakes to taste.
Using a spoon, create 3 wells in the lentil mixture",Spiced Lentil and Caramelized Onion Baked Eggs
16,Carefully crack 1 egg into each well,Spiced Lentil and Caramelized Onion Baked Eggs
17,"Transfer the pan to the oven and bake until the whites of the eggs are just set, 11 to 13 minutes.
While the eggs bake, in a small pot or butter warmer, heat 2 Tbsp",Spiced Lentil and Caramelized Onion Baked Eggs
18,"unsalted butter, ghee, or olive oil over medium heat",Spiced Lentil and Caramelized Onion Baked Eggs
19,Add ½ tsp,Spiced Lentil and Caramelized Onion Baked Eggs
20,"cumin seeds; swirl the pan until the seeds start to sizzle and brown, 30 seconds to 1 minute",Spiced Lentil and Caramelized Onion Baked Eggs
21,"Remove from the heat.
Drizzle the finished eggs with the butter mixture, season with salt and pepper, and garnish with parsley before serving.",Spiced Lentil and Caramelized Onion Baked Eggs
1,Put the chipotle peppers and adobo sauce in a small food processor or blender and blend until the mixture turns into a smooth purée,Hot Pimento Cheese Dip
2,Set aside,Hot Pimento Cheese Dip
3,"The chipotle purée can be made in advance, stored in an airtight container, and refrigerated for up to 2 months.
On a cutting board, sprinkle the garlic with a large pinch of salt and gather it into a small mound",Hot Pimento Cheese Dip
4,"Holding the blunt side of the knife with both hands, press and scrape the knife’s sharp end, holding it at a slight angle, across the garlic mound to flatten it",Hot Pimento Cheese Dip
5,"Repeat, dragging it across the garlic, until you have a smooth paste",Hot Pimento Cheese Dip
6,"Set aside.
In a small bowl, mix the cornstarch and 1½ tsp",Hot Pimento Cheese Dip
7,of the evaporated milk into a slurry,Hot Pimento Cheese Dip
8,Pour the rest of the evaporated milk into a medium saucepan and stir in the slurry,Hot Pimento Cheese Dip
9,"Bring to a boil over medium-high heat, whisking constantly",Hot Pimento Cheese Dip
10,"Turn the heat to low and add the Cheddar gradually by the handful, stirring until the Cheddar is melted and the mixture is smooth",Hot Pimento Cheese Dip
11,Add the cream cheese and whisk until it melts,Hot Pimento Cheese Dip
12,"Stir in the mayonnaise, pimento peppers, 1½ tsp",Hot Pimento Cheese Dip
13,"of the chipotle purée, and the garlic paste",Hot Pimento Cheese Dip
14,Season with salt,Hot Pimento Cheese Dip
15,"Transfer to a serving bowl or keep it warm in a slow cooker and serve immediately.
To reheat the sauce, microwave it, stirring every 30 seconds, until fully melted.",Hot Pimento Cheese Dip
1,Pour 3 cups of water into a 7-quart slow cooker,Spiral Ham in the Slow Cooker
2,"Add the ham, cut-side up, as well as the parsnips and carrots",Spiral Ham in the Slow Cooker
3,"Pour the maple syrup and apple juice over the ham, and sprinkle the brown sugar over the top",Spiral Ham in the Slow Cooker
4,"Cook on high, uncovered, for 30 to 45 minutes, then cover the slow cooker and cook on low until the ham is tender, 3 to 4 hours",Spiral Ham in the Slow Cooker
5,"Hams vary in size and tenderness, so be patient",Spiral Ham in the Slow Cooker
6,"When it’s tender, the meat should come off the bone with very little resistance",Spiral Ham in the Slow Cooker
7,"Taste a small piece for tenderness.
Transfer the ham and vegetables to a deep serving platter (reserve the liquid in the pot)",Spiral Ham in the Slow Cooker
8,Use a pair of kitchen shears or scissors to cut the slices of ham off the bone and let them fall onto the platter,Spiral Ham in the Slow Cooker
9,Stir both kinds of mustard and the vinegar into the cooking liquid left in the slow cooker and taste for seasoning—the sauce may or may not need salt,Spiral Ham in the Slow Cooker
10,"Pour the liquid over the ham and vegetables, and serve.",Spiral Ham in the Slow Cooker
1,"Cook bacon in a 6-quart heavy pot over medium heat, stirring occasionally, until crisp, then transfer with a slotted spoon to paper towels to drain, reserving 2 tablespoons fat in pot",Butternut Squash and Apple Soup
2,"(Add vegetable oil if your bacon is very lean and doesn't yield enough fat.)
Cook celery, carrot, and onion in fat in pot over low heat, covered, stirring occasionally, until softened but not browned, 10 to 12 minutes",Butternut Squash and Apple Soup
3,"Add cinnamon and cook, uncovered, stirring, 1 minute.
While vegetables are cooking, peel potatoes and coarsely chop",Butternut Squash and Apple Soup
4,"Peel and core 1 apple and coarsely chop.
Stir squash, potato, chopped apple, stock, 2 cups water, 1 teaspoon salt and 1/2 teaspoon pepper into onion mixture, then simmer, uncovered, stirring occasionally, until vegetables are very tender, 15 to 20 minutes.
Puree soup in 4 batches in a blender (use caution when blending hot liquids), then heat in cleaned pot over medium low heat, stirring occasionally",Butternut Squash and Apple Soup
5,"(Add additional 1/2 cup water to thin, if necessary.)
While soup is heating, cut enough of remaining apple into thin matchsticks (about 1 1/2-inches long) to measure about 1/2 cup.
Serve soup topped with sour cream, bacon, and apple matchsticks.
Cooks' Notes: Soup can be made 2 days ahead and chilled, covered once cooled",Butternut Squash and Apple Soup
6,Cooked bacon can be kept refrigerated in an airtight container—reheat in a 375°F oven in a small baking pan.,Butternut Squash and Apple Soup
1,Place a rack in lower third of oven; preheat to 450°F,Caesar Salad Roast Chicken
2,"Whisk anchovies, garlic, 3 Tbsp",Caesar Salad Roast Chicken
3,"mayonnaise, 1 Tbsp",Caesar Salad Roast Chicken
4,"mustard, 1 Tbsp",Caesar Salad Roast Chicken
5,"oil, and 1½ tsp",Caesar Salad Roast Chicken
6,pepper in a small bowl,Caesar Salad Roast Chicken
7,Set aside 1 Tbsp,Caesar Salad Roast Chicken
8,"anchovy mayo in another small bowl.
Pat chicken dry; season outside and inside all over with salt",Caesar Salad Roast Chicken
9,Arrange breast side up in a cast-iron skillet and tuck wings underneath,Caesar Salad Roast Chicken
10,"Arrange shallots around (if using legs, nestle under and around); season with salt and pepper",Caesar Salad Roast Chicken
11,"Brush remaining anchovy mayo all over chicken, making sure to get it into the nooks and crannies, then brush shallots with any leftover anchovy mayo.
Place chicken in oven so legs are facing toward the back (this is the hottest part of the oven and will help the legs cook before the breast dries out) and roast until some anchovy mayo and fat begin to drip onto shallots, about 15 minutes",Caesar Salad Roast Chicken
12,"Remove from oven and, using tongs, turn shallots to coat in drippings",Caesar Salad Roast Chicken
13,"Return skillet to oven and continue to roast chicken, stirring shallots once or twice, until golden brown and an instant-read thermometer inserted into the thickest part of breast registers 155°F, 45–55 minutes",Caesar Salad Roast Chicken
14,"If skin starts to get too dark on the top before chicken is done, tent area with foil, leaving the rest of the bird exposed",Caesar Salad Roast Chicken
15,"If using chicken legs, start checking at 40 minutes (a thermometer inserted right at the joint should register 160°F)",Caesar Salad Roast Chicken
16,"Transfer chicken and shallots to a cutting board, leaving behind any juices and fat in skillet",Caesar Salad Roast Chicken
17,"If shallots need more time to soften and darken, roast a bit longer without chicken before proceeding",Caesar Salad Roast Chicken
18,"Reserve skillet.
Reduce oven temperature to 400°F",Caesar Salad Roast Chicken
19,Finely grate half of zest of 1 lemon into a large bowl; cut lemon in half and squeeze in juice,Caesar Salad Roast Chicken
20,Add reserved 1 Tbsp,Caesar Salad Roast Chicken
21,"anchovy mayo, remaining 3 Tbsp",Caesar Salad Roast Chicken
22,"mayo, and remaining 1 Tbsp",Caesar Salad Roast Chicken
23,"oil and whisk to combine, then stir in Parmesan",Caesar Salad Roast Chicken
24,Season with salt and pepper,Caesar Salad Roast Chicken
25,"Set dressing aside.
Add bread to reserved skillet with fat and turn to coat",Caesar Salad Roast Chicken
26,"Return skillet to oven and toast bread, tossing halfway through, until golden brown and crisp, 12–15 minutes",Caesar Salad Roast Chicken
27,Transfer croutons to bowl with reserved dressing,Caesar Salad Roast Chicken
28,Add romaine and gently toss until lettuce is well coated,Caesar Salad Roast Chicken
29,"Season salad with salt and pepper.
Slice remaining lemon into wedges",Caesar Salad Roast Chicken
30,Carve chicken and nestle back into skillet or transfer to a platter; arrange shallots and lemon wedges around,Caesar Salad Roast Chicken
31,Serve with salad and more mustard alongside.,Caesar Salad Roast Chicken
1,Season chicken with salt and pepper,Chicken and Rice With Leeks and Salsa Verde
2,Melt 2 Tbsp,Chicken and Rice With Leeks and Salsa Verde
3,butter in a large high-sided skillet over medium-high heat,Chicken and Rice With Leeks and Salsa Verde
4,"Add leeks and half of lemon zest, season with salt and pepper, and mix to coat leeks in butter",Chicken and Rice With Leeks and Salsa Verde
5,"Reduce heat to medium-low, cover, and cook, stirring occasionally, until leeks are somewhat tender, about 5 minutes",Chicken and Rice With Leeks and Salsa Verde
6,"Remove lid, increase heat to medium-high, and cook, stirring occasionally, until tender and just starting to take on color, about 3 minutes",Chicken and Rice With Leeks and Salsa Verde
7,"Add rice and cook, stirring often, 3 minutes, then add broth, scraping up any browned bits",Chicken and Rice With Leeks and Salsa Verde
8,Tuck short sides of each chicken thigh underneath so they are touching and nestle seam side down into rice mixture,Chicken and Rice With Leeks and Salsa Verde
9,Bring to a simmer,Chicken and Rice With Leeks and Salsa Verde
10,"Cover, reduce heat to medium-low, and cook until rice is tender and chicken is cooked through, about 20 minutes",Chicken and Rice With Leeks and Salsa Verde
11,Remove from heat,Chicken and Rice With Leeks and Salsa Verde
12,Cut remaining 1 Tbsp,Chicken and Rice With Leeks and Salsa Verde
13,butter into small pieces and scatter over mixture,Chicken and Rice With Leeks and Salsa Verde
14,"Re-cover and let sit 10 minutes.
Meanwhile, pulse anchovy, garlic, capers, a few pinches of red pepper flakes, and remaining lemon zest in a food processor until finely chopped",Chicken and Rice With Leeks and Salsa Verde
15,Add herbs; process until a paste forms,Chicken and Rice With Leeks and Salsa Verde
16,"With motor running, gradually stream in oil until loosened to a thick sauce",Chicken and Rice With Leeks and Salsa Verde
17,"Add half of lemon juice; season salsa verde with salt.
Drizzle remaining lemon juice over chicken and rice",Chicken and Rice With Leeks and Salsa Verde
18,Serve with salsa verde.,Chicken and Rice With Leeks and Salsa Verde
1,"Stir masa, 1 Tbsp",Gorditas con Camarones
2,"lard, 1 tsp",Gorditas con Camarones
3,Diamond Crystal or ½ tsp,Gorditas con Camarones
4,"Morton salt, and 1 cup water in a medium bowl until a soft and slightly sticky dough forms",Gorditas con Camarones
5,"If dry, mix in another 1 Tbsp",Gorditas con Camarones
6,water,Gorditas con Camarones
7,"Cover and let sit at least 30 minutes and up to 3 hours.
Meanwhile, bring guajillo chiles, morita chiles, coriander, and 1½ cups water to a boil in a small saucepan",Gorditas con Camarones
8,"Cover, remove from heat, and let sit, stirring occasionally, 30 minutes to allow chiles to soften",Gorditas con Camarones
9,"Transfer to a blender and purée until smooth; set aside.
Place rack in lowest position in oven; preheat to 500°F",Gorditas con Camarones
10,Brush a rimmed baking sheet with 2 Tbsp,Gorditas con Camarones
11,lard,Gorditas con Camarones
12,Divide dough into 4 pieces and form into balls,Gorditas con Camarones
13,Set on work surface and cover with a damp kitchen towel,Gorditas con Camarones
14,Place 1 ball between 2 sheets of parchment or wax paper,Gorditas con Camarones
15,"Using a small skillet or saucepan, gently press ball into a 5""-diameter disk",Gorditas con Camarones
16,Carefully peel away parchment; place on prepared baking sheet,Gorditas con Camarones
17,"Repeat with remaining balls.
Bake gorditas until outer edges are lightly golden, 10–12 minutes",Gorditas con Camarones
18,"Turn over and bake until golden brown and crisp, 10–12 minutes",Gorditas con Camarones
19,Transfer to plates and let cool 10 minutes,Gorditas con Camarones
20,"Insert a paring knife into side of gordita and, using a slow sawing motion, cut open along one side (keep other side intact).
Heat remaining 2 Tbsp",Gorditas con Camarones
21,lard in a large skillet over high,Gorditas con Camarones
22,"Cook shrimp until lightly browned and just cooked through, about 1 minute per side",Gorditas con Camarones
23,Transfer to a medium bowl,Gorditas con Camarones
24,"Reduce heat to medium and cook garlic in same skillet, tossing often, until beginning to brown, about 1 minute",Gorditas con Camarones
25,"Add thyme sprigs, vinegar, agave, 1½ tsp",Gorditas con Camarones
26,Diamond Crystal or 1 tsp,Gorditas con Camarones
27,"Morton kosher salt, and reserved chile purée",Gorditas con Camarones
28,"Cook, stirring occasionally, until brick red and the consistency of a thick sauce, 6–8 minutes",Gorditas con Camarones
29,Add shrimp and any juices and cook 1 minute,Gorditas con Camarones
30,Remove from heat; add butter and stir constantly until melted and sauce is glossy,Gorditas con Camarones
31,Season with more salt if needed,Gorditas con Camarones
32,"Remove and discard thyme.
Fill gorditas with shrimp mixture, onion, avocado, and cilantro",Gorditas con Camarones
33,Serve with lime wedges for squeezing over.,Gorditas con Camarones
1,Using 2 Tbsp,Enfrijoladas
2,"oil, brush both sides of each tortilla",Enfrijoladas
3,Heat a large skillet over medium-high,Enfrijoladas
4,"Working in batches, cook until lightly browned and starting to crisp, about 1 minute per side",Enfrijoladas
5,"Set aside.
Heat remaining 3 Tbsp",Enfrijoladas
6,oil in same skillet over medium-high,Enfrijoladas
7,"Cook chorizo, breaking up with a wooden spoon, until browned and cooked through, 7–9 minutes",Enfrijoladas
8,"Using a slotted spoon, transfer to a medium bowl; set aside.
Add garlic and ½ onion to same skillet, season with salt, and cook, tossing occasionally, until tender and beginning to brown, 6–8 minutes",Enfrijoladas
9,"Using slotted spoon, transfer garlic mixture to a blender; reserve pan with oil",Enfrijoladas
10,"Add beans and broth to blender and purée until smooth (it should be the consistency of yogurt); season with salt.
Set reserved pan over medium-high and heat oil",Enfrijoladas
11,Transfer bean purée to skillet and bring to a boil,Enfrijoladas
12,Reduce heat to low,Enfrijoladas
13,"Working one at a time and using tongs, dip tortillas in bean purée, turning to coat and leaving until softened, about 3 seconds per side (they will soften more as they sit)",Enfrijoladas
14,Transfer to a baking sheet as you go,Enfrijoladas
15,Spoon 1 Tbsp,Enfrijoladas
16,chorizo and 1 Tbsp,Enfrijoladas
17,"queso fresco across the center of each tortilla; fold over like a taco.
Divide among plates and spoon remaining bean purée over",Enfrijoladas
18,"Top with cilantro, avocado, more onion, remaining chorizo, and remaining queso.",Enfrijoladas
1,Heat oil in a large nonstick skillet over medium-high,Caramelized Plantain Parfait
2,"Cook plantains, turning once, until deep golden brown, about 3 minutes per side",Caramelized Plantain Parfait
3,"Transfer to paper towels to drain; season with salt.
Divide yogurt among bowls; top with plantains and mangoes, then nuts, seeds, and/or coconut as desired.",Caramelized Plantain Parfait
1,Season chicken all over with 4 tsp,Chicken and Potato Gratin With Brown Butter Cream
2,salt,Chicken and Potato Gratin With Brown Butter Cream
3,Place in an airtight container and cover,Chicken and Potato Gratin With Brown Butter Cream
4,"Chill at least 1 hour and up to 1 day.
Place a rack in middle of oven; preheat to 425°F",Chicken and Potato Gratin With Brown Butter Cream
5,"Toss potatoes, shallots, and 2 tsp",Chicken and Potato Gratin With Brown Butter Cream
6,"salt in a large bowl.
Melt 4 Tbsp",Chicken and Potato Gratin With Brown Butter Cream
7,"butter in a small saucepan over medium heat and cook, stirring often, until butter foams, then browns, 5–8 minutes",Chicken and Potato Gratin With Brown Butter Cream
8,"Immediately remove from heat (it will continue to darken) and stir in cream, garlic, pepper, nutmeg, and remaining 1½ tsp",Chicken and Potato Gratin With Brown Butter Cream
9,salt,Chicken and Potato Gratin With Brown Butter Cream
10,"Set saucepan over medium-low heat and cook, stirring, until salt is dissolved and mixture is warm to the touch",Chicken and Potato Gratin With Brown Butter Cream
11,"Stir in thyme and sage; remove from heat.
Heat remaining 1 Tbsp",Chicken and Potato Gratin With Brown Butter Cream
12,butter in a large stainless-steel skillet over medium-high until melted and bubbling,Chicken and Potato Gratin With Brown Butter Cream
13,"Working in 2 batches, cook chicken, skin side down, until golden underneath, about 5 minutes",Chicken and Potato Gratin With Brown Butter Cream
14,"Transfer chicken to a 13x9"" or 3-qt",Chicken and Potato Gratin With Brown Butter Cream
15,baking dish and arrange skin side up,Chicken and Potato Gratin With Brown Butter Cream
16,Set skillet with pan drippings aside,Chicken and Potato Gratin With Brown Butter Cream
17,Nestle potatoes and shallots around chicken (don’t place on top),Chicken and Potato Gratin With Brown Butter Cream
18,"Pour brown butter cream over chicken and vegetables, making sure herbs and spices are evenly dispersed and tucking herbs into vegetables so they don’t get too crispy when they bake.
Bake gratin until cream is mostly reduced and chicken and vegetables are dark golden brown, about 40 minutes",Chicken and Potato Gratin With Brown Butter Cream
19,"Let gratin cool 5–10 minutes.
Meanwhile, pulse bread in a food processor until pieces are about oat-size (you should have about 1¼ cups)",Chicken and Potato Gratin With Brown Butter Cream
20,Toss breadcrumbs in pan drippings in reserved skillet to coat,Chicken and Potato Gratin With Brown Butter Cream
21,"Cook over medium heat, scraping up browned bits with a spatula, until deep golden brown, 5–7 minutes",Chicken and Potato Gratin With Brown Butter Cream
